timestamp,region,region_name,fuel_type,generation_mwh
2024-01-02T07,PJM,"PJM Interconnection, LLC",Coal,12886
2024-01-02T07,PJM,"PJM Interconnection, LLC",Natural Gas,37616
2024-01-02T07,PJM,"PJM Interconnection, LLC",Nuclear,32541
2024-01-02T07,PJM,"PJM Interconnection, LLC",Petroleum,221
2024-01-02T07,PJM,"PJM Interconnection, LLC",Other,1055
2024-01-02T07,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-02T07,PJM,"PJM Interconnection, LLC",Hydro,1031
2024-01-02T07,PJM,"PJM Interconnection, LLC",Wind,4255
2024-01-02T08,PJM,"PJM Interconnection, LLC",Coal,12958
2024-01-02T08,PJM,"PJM Interconnection, LLC",Natural Gas,37720
2024-01-02T08,PJM,"PJM Interconnection, LLC",Nuclear,32542
2024-01-02T08,PJM,"PJM Interconnection, LLC",Petroleum,223
2024-01-02T08,PJM,"PJM Interconnection, LLC",Other,1058
2024-01-02T08,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-02T08,PJM,"PJM Interconnection, LLC",Hydro,1020
2024-01-02T08,PJM,"PJM Interconnection, LLC",Wind,4202
2024-01-02T09,PJM,"PJM Interconnection, LLC",Coal,12685
2024-01-02T09,PJM,"PJM Interconnection, LLC",Natural Gas,37142
2024-01-02T09,PJM,"PJM Interconnection, LLC",Nuclear,32537
2024-01-02T09,PJM,"PJM Interconnection, LLC",Petroleum,223
2024-01-02T09,PJM,"PJM Interconnection, LLC",Other,1034
2024-01-02T09,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-02T09,PJM,"PJM Interconnection, LLC",Hydro,1070
2024-01-02T09,PJM,"PJM Interconnection, LLC",Wind,4411
2024-01-02T10,PJM,"PJM Interconnection, LLC",Coal,13298
2024-01-02T10,PJM,"PJM Interconnection, LLC",Natural Gas,38504
2024-01-02T10,PJM,"PJM Interconnection, LLC",Nuclear,32531
2024-01-02T10,PJM,"PJM Interconnection, LLC",Petroleum,224
2024-01-02T10,PJM,"PJM Interconnection, LLC",Other,999
2024-01-02T10,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-02T10,PJM,"PJM Interconnection, LLC",Hydro,2074
2024-01-02T10,PJM,"PJM Interconnection, LLC",Wind,4800
2024-01-02T11,PJM,"PJM Interconnection, LLC",Coal,13648
2024-01-02T11,PJM,"PJM Interconnection, LLC",Natural Gas,41206
2024-01-02T11,PJM,"PJM Interconnection, LLC",Nuclear,32526
2024-01-02T11,PJM,"PJM Interconnection, LLC",Petroleum,225
